,byline,headline,open_date,pick_or_not,pub_date,rating,title
1161,STEPHEN HOLDEN,"From a Schoolhouse in Rwanda, Wrenching Lessons About Genocide",,0,2007-03-09,R,Beyond the Gates
1162,JEANNETTE CATSOULIS,A Doctor’s Surprise Case: His Lieutenant’s Wife,,0,2007-03-07,,Border Post
1163,MANOHLA DARGIS,Hunting a Killer as the Age of Aquarius Dies,2007-03-02,1,2007-03-02,R,Zodiac
1164,A. O. SCOTT,Hitting the Road for Some Hot Man-on-Bike Action,2007-03-02,0,2007-03-02,,Wild Hogs
1165,STEPHEN HOLDEN,Lessons in Surviving a Mother’s Dying Days,,0,2007-03-02,R,Two Weeks
1166,JEANNETTE CATSOULIS,Painting Through the Pain,,1,2007-03-01,,The Cats of Mirikitani
1167,STEPHEN HOLDEN,"Addiction, Magnified",,0,2007-03-01,,Rock Bottom: Gay Men and Meth
1168,STEPHEN HOLDEN,"A Loner Wanders Junior High, as a Lion Strays on Campus",,0,2007-02-28,Not Rated,Wild Tigers I Have Known
1169,A. O. SCOTT,"Haunted by Ghosts of the Past, Beckoned by a Homeland",2007-02-23,0,2007-02-24,R,The Abandoned
1170,A. O. SCOTT,"A Tale of Love, Drought and Desperation",,0,2007-02-23,,The Wayward Cloud
1171,MANOHLA DARGIS,"Laying Down the Law, Just for Laughs",2007-02-23,0,2007-02-23,R,Reno 911: Miami
1172,MANOHLA DARGIS,"A Man, a Book, a Number: What Does It All Mean?",2007-02-23,0,2007-02-23,R,The Number 23
1173,STEPHEN HOLDEN,"Brother and Sister, With Similar Taste in Girls",,0,2007-02-23,PG-13,Gray Matters
1174,MANOHLA DARGIS,The Imperfect Soul Who Helped Bring an End to the Slave Trade,2007-02-23,0,2007-02-23,PG,Amazing Grace
1175,NEIL GENZLINGER,A Cubist Family Portrait,,0,2007-02-22,,The Taste of Tea
1176,JEANNETTE CATSOULIS,Multiple Choice Love Quiz,2007-03-09,0,2007-02-22,PG-13,Starter For 10
1177,JEANNETTE CATSOULIS,Just Another Desperate Day in the Life of a Drug Casualty,,0,2007-02-21,,Cocaine Angel
1178,JEANNETTE CATSOULIS,The Devil Made Me Do It,2007-02-16,0,2007-02-17,PG-13,Ghost Rider
1179,JEANNETTE CATSOULIS,"Transcending Pain, a Friendship Fed on Imagination",2007-02-16,1,2007-02-16,PG,Bridge to Terabithia
1180,STEPHEN HOLDEN,"Looking to the Future, Living With the Past",,0,2007-02-16,,Grbavica: The Land of My Dreams
1181,STEPHEN HOLDEN,"Look Sharp, Ladies, You’re in the Army Now",,0,2007-02-16,Not Rated,Close to Home
1182,MANOHLA DARGIS,"What Will My Spy Be? Capitalist, Drone, Deviant...",2007-02-16,0,2007-02-16,PG-13,Breach
1183,MANOHLA DARGIS,A Collision of Role Players on the Busy Avenue of Life,2007-04-27,0,2007-02-16,PG-13,Avenue Montaigne
1184,ANDY WEBSTER,"Dharma, the Elizabethan Way",,0,2007-02-15,,Eklavya: The Royal Guard
1185,MATT ZOLLER SEITZ,A Very Busy Father,2007-02-14,0,2007-02-15,PG-13,Tyler Perry's Daddy's Little Girls
1186,MANOHLA DARGIS,"Blood on His Hands, Philosophy on His Mind",,0,2007-02-15,,Antibodies
1187,A. O. SCOTT,"World Bank in the Docket, Charged With Africa’s Woes",,1,2007-02-14,,Bamako
1188,A. O. SCOTT,"Melodic Guy, Verbal Gal Meet Cute and Get Lyrical",2007-02-14,0,2007-02-14,PG-13,Music and Lyrics
1189,JEANNETTE CATSOULIS,"Coffee, Tea or an Affair With a Guy?",,0,2007-02-14,Not Rated,Coffee Date
1190,A. O. SCOTT,A Fugue for Good German Men,2007-03-30,1,2007-02-09,R,The Lives of Others
1191,STEPHEN HOLDEN,A Cigar Isn’t Just a Cigar? Ay-Ay-Ay,,0,2007-02-09,R,Unconscious
1192,STEPHEN HOLDEN,"The Hemingway Effect, From Recent Battlefields",2007-02-09,0,2007-02-09,,Operation Homecoming
1193,A. O. SCOTT,"That Was No Elephant, That Was My Wife",2007-02-09,0,2007-02-09,PG-13,Norbit
1194,MANOHLA DARGIS,Who’s Afraid of an Artist Who Loved Flowers?,,0,2007-02-09,,Notes on Marie Menken
1195,MATT ZOLLER SEITZ,"Sins Devoured, Hope Restored",2007-02-09,0,2007-02-09,PG-13,The Last Sin Eater
1196,JEANNETTE CATSOULIS,How He Arrived at That Acquired Taste,2007-02-09,0,2007-02-09,R,Hannibal Rising
1197,MATT ZOLLER SEITZ,Madness in Mumbai,,1,2007-02-08,,Black Friday
1198,MANOHLA DARGIS,"Before the Wall Fell, a Kafkaesque Nightmare",,0,2007-02-07,,La Decomposition de L'ame
1199,MATT ZOLLER SEITZ,Here’s a Risky Pickup Line: I’m Obsessed With ‘Annie Hall’,,0,2007-02-07,R,Burning Annie
1200,MATT ZOLLER SEITZ,The Recurring Stain Should Be a Tipoff,2007-02-02,0,2007-02-03,PG-13,The Messengers
1201,MANOHLA DARGIS,"A Journalist and Beauty, Working It in Iraq",,0,2007-02-02,R,The Situation
1202,STEPHEN HOLDEN,"Girl Leaves Girl, Meets Boy and Then Meets Boy’s Girl",,0,2007-02-02,,Puccini for Beginners
1203,MANOHLA DARGIS,"Behind the Asphalt Walls, Hopes and Heavy Burdens",,0,2007-02-02,Not Rated,In the Pit
1204,STEPHEN HOLDEN,"Warhol’s Anointed Starlet, Drowning in the Glitterati",2007-02-16,0,2007-02-02,Not Rated,Factory Girl
1205,A. O. SCOTT,"Mother, Please, I’d Rather Do It Myself",2007-02-02,0,2007-02-02,PG-13,Because I Said So
1206,MATT ZOLLER SEITZ,"A Gambling, Scrambling Life",,1,2007-02-01,,Tajja
1207,MATT ZOLLER SEITZ,Courage Through Rhymes,,1,2007-02-01,,East of Havana
1208,STEPHEN HOLDEN,"Losing  a Job, Making a Film",,0,2007-02-01,,Fired!
1209,MATT ZOLLER SEITZ,The Aftershocks of Racist Violence,,0,2007-02-01,PG-13,Constellation
1210,JEANNETTE CATSOULIS,A Hotel Room With Views of 5 Couples’ Relationships,2007-04-15,0,2007-01-31,,Room 314
1211,A. O. SCOTT,The Endlessly Maddening (for Liberals) Case of Ralph Nader,,0,2007-01-31,Not Rated,An Unreasonable Man
1212,A. O. SCOTT,Bravely Setting Out to Mock Others,2007-01-26,0,2007-01-27,PG-13,Epic Movie
1213,JEANNETTE CATSOULIS,"Yes, She Has a Sweet Tooth, but She’s a Major Carnivore",2007-01-26,0,2007-01-27,PG-13,Blood and Chocolate
1214,A. O. SCOTT,Sometimes Pulp Fiction Emphasizes Pulp Over Fiction,2007-01-26,0,2007-01-26,R,Smokin' Aces
1215,STEPHEN HOLDEN,A Rocky Mountain Road to Happily Ever After,2007-01-26,0,2007-01-26,PG-13,Catch and Release
1216,A. O. SCOTT,Love Means Always Having to Say You’re Sorry,,0,2007-01-26,R,Breaking and Entering
1217,JEANNETTE CATSOULIS,The Heartbreak of Cheap Labor,,1,2007-01-25,,China Blue
1218,BY JEANETTE CATSOULIS,"Fantasy and Farce From Far, Far Away",,0,2007-01-25,,From Other Worlds
1219,JEANNETTE CATSOULIS,A Loud Outcry Against Genocide,,0,2007-01-25,R,Screamers
1220,A. O. SCOTT,"Our Father, the Nazi Zealot: A Family Grapples With Its Burdens and Blind Spots",,0,2007-01-24,,"2 oder 3 Dinge, die ich von ihm weiß"
1221,MATT ZOLLER SEITZ,A Maleficent Obsession? Could Be More Than Heaven Allows,1949-01-25,0,2007-01-24,,Shockproof
1222,MATT ZOLLER SEITZ,"Easy Does It, the Next Stop Is a Killer. No, It Really Is.",2007-01-19,0,2007-01-20,R,The Hitcher
1223,MANOHLA DARGIS,Grace Notes: To Be Young and in Paris in 1968,,1,2007-01-19,,Regular Lovers
1224,A. O. SCOTT,Nino and His Oh-So-Present Memories of Underdevelopment,,1,2007-01-19,Not Rated,Mafioso
1225,MANOHLA DARGIS,"A Place Where Hope Dies, and a Boy Who Escapes",,0,2007-01-19,PG-13,The Italian
1226,MATT ZOLLER SEITZ,A Father and a Son Tell Their Own Tales of Love and Loss,,1,2007-01-17,,The Goodtimeskid
1227,MANOHLA DARGIS,"Rejected by Society, a Woman Struggles to Carry On",,0,2007-01-17,,Dam Street
1228,MATT ZOLLER SEITZ,The Long Lens of Obsession and Mad Love,,0,2007-01-17,Not Rated,Alone with Her
1229,ANDY WEBSTER,Polyester and Power at Play for a Mogul and His India,,0,2007-01-15,,Guru
1230,A. O. SCOTT,Reporters Tail a Killer Croc,,0,2007-01-13,,Primeval
1231,STEPHEN HOLDEN,After a Struggle to Escape Comes an Effort to Adjust,,1,2007-01-12,PG,God Grew Tired of Us
1232,BY A.O. SCOTT,Gun-Slinging Cowboys in Colorful Thailand,,0,2007-01-12,Not Rated,Tears of the Black Tiger
1233,RACHEL SALTZ,Stomping His Way to Brotherhood,2007-01-12,0,2007-01-12,PG-13,Stomp the Yard
1234,NEIL GENZLINGER,"The Human and the Animated, Shrunk to Size",2007-01-12,0,2007-01-12,PG,Arthur and the Invisibles
1235,MANOHLA DARGIS,Just a Bunch of Kids Who Kidnap and Kill,2007-01-12,0,2007-01-12,R,Alpha Dog
1236,NEIL GENZLINGER,The Unvarnished Reality of the Holocaust,,0,2007-01-11,,Verdict on Auschwitz: The Frankfurt Auschwitz Trial 1963-1965
1237,MATT ZOLLER SEITZ,A Portrait of Lives Transformed by Trauma,,0,2007-01-11,,Abduction
1238,JEANNETTE CATSOULIS,"The World Has Nearly Ended, but Movies Manage to Survive",0000-00-00,1,2007-01-10,,Ever Since the World Ended
1239,NEIL GENZLINGER,"Two Views of Artists, Two Visions of the World",,0,2007-01-10,,Agnes Martin: With My Back to the World
1240,STEPHEN HOLDEN,"Once Upon a Time, Flopsy and Mopsy, There Was a Plucky Proto-Feminist Who ...",2007-03-09,0,2007-01-05,PG,Miss Potter
1241,MANOHLA DARGIS,To Ms. With Love: A Teacher’s Heart Fords a Social Divide,2007-01-05,0,2007-01-05,PG-13,Freedom Writers
1242,BY A.O. SCOTT,When a Woman Rattles a Man's World of Fraud,,0,2007-01-05,,Comedy of Power
1243,NEIL GENZLINGER,"A Man, a Corpse and No Memory",2007-01-05,0,2007-01-05,PG-13,Code Name: The Cleaner
1244,MATT ZOLLER SEITZ,A Fairy Tale for Fractured Times,2007-01-05,0,2007-01-04,PG,Happily N'Ever After
1245,MATT ZOLLER SEITZ,From Sex Trade to Vultures: Asia Outside In,,1,2007-01-03,,Sacrifice
1246,JEANNETTE CATSOULIS,"In Croatia, an Empty Life in Full View",,0,2007-01-03,,I Love You
1247,BY A.O. SCOTT,"In Gloom of War, a Child's Paradise",2007-01-19,1,2006-12-29,R,Pan's Labyrinth
1248,JEANNETTE CATSOULIS,"Dude, Where’s My Girlfriend? Poet Pines in War-Torn Iraq",,0,2006-12-29,,The Tiger and the Snow
1249,STEPHEN HOLDEN,A Body Is Discovered in a Wasteland of Emotions,,0,2006-12-29,R,The Dead Girl
1250,MANOHLA DARGIS,"A Friendship Develops, and Obsession Follows",2007-01-26,0,2006-12-27,R,Notes on a Scandal
1251,BY A.O. SCOTT,The Sweet Smell of Life That Drives Him to Kill,2007-01-05,0,2006-12-27,R,Perfume: the Story of A Murderer
1252,JEANNETTE CATSOULIS,Psycho Killer Holiday Tip: Use Eyeballs as Ornaments,2006-12-25,0,2006-12-27,R,Black Christmas
1253,MANOHLA DARGIS,"Apocalypse Now, but in the Wasteland a Child Is Given",2007-01-05,1,2006-12-25,R,Children of Men
1254,MANOHLA DARGIS,"Company Man: Hush, Hush, Sweet Operative",2006-12-22,0,2006-12-22,R,The Good Shepherd
1255,STEPHEN HOLDEN,The Night of the Living Dioramas,2006-12-22,0,2006-12-22,PG,Night at the Museum
1256,STEPHEN HOLDEN,Stumbling for Gridiron Glory After a Crash,2006-12-22,0,2006-12-22,PG,We Are Marshall
1257,A. O. SCOTT,"Higgins, Meet Eliza, but It May Be Too Late",2007-02-16,0,2006-12-21,R,Venus
1258,JEANNETTE CATSOULIS,Dynastic Dysfunction and Loathing,2007-01-12,0,2006-12-21,R,Curse of the Golden Flower
1259,A. O. SCOTT,Blurring the Line in the Bleak Sands of Iwo Jima,2007-02-02,1,2006-12-20,R,Letters From Iwo Jima
1260,MANOHLA DARGIS,"A Plague Infects the Land, as Passion Vexes Hearts",2007-01-19,0,2006-12-20,PG-13,The Painted Veil
1261,STEPHEN HOLDEN,Return of That Fighter With a Soft Heart Inside a Hard Body,2006-12-20,0,2006-12-20,PG,Rocky Balboa
1262,MANOHLA DARGIS,Leftist Politics Scampers Through Paris on Playful Paws,,0,2006-12-20,,The Case of the Grinning Cat
1263,JEANNETTE CATSOULIS,An Artist Shows His Process by Way of a Film Within a Film,,0,2006-12-20,,Matthew Barney: No Restraint
1264,A. O. SCOTT,"White’s Country Critters, Still Humble",2006-12-15,1,2006-12-15,G,Charlotte's Web
1265,STEPHEN HOLDEN,She Will Not Speak. Words Fail Her.,,0,2006-12-15,,The Secret Life of Words
1266,NEIL GENZLINGER,A Journey Through the Years With Duke Ellington,,0,2006-12-15,,Reminiscing in Tempo
1267,JEANNETTE CATSOULIS,"Lives of Deception, Revealed in Extreme Close-Up",,0,2006-12-15,,Resilience
1268,JEANNETTE CATSOULIS,"A Life of Torment, Delusion and Decline",,0,2006-12-15,Not Rated,Memoirs of My Nervous Illness
1269,MANOHLA DARGIS,Climbing Out of the Gutter With a 5-Year-Old in Tow,2006-12-15,0,2006-12-15,PG-13,The Pursuit of Happyness
1270,MANOHLA DARGIS,"Spies, Lies and Noir in Berlin",2007-01-19,0,2006-12-15,R,The Good German
1271,JEANNETTE CATSOULIS,A Boy and His Dragon,2006-12-15,0,2006-12-15,PG,Eragon
1272,A. O. SCOTT,Three-Part Heartbreak in Motown,2006-12-25,0,2006-12-15,PG-13,Dreamgirls
1273,NEIL GENZLINGER,Christian Rock With a Twist,,0,2006-12-15,,Danielson: A Family Movie
1274,STEPHEN HOLDEN,"After Iraq, Struggling on the Home Front",,0,2006-12-15,R,Home of the Brave
1275,JEANNETTE CATSOULIS,Defending the Human Race With Old Spare Parts,,0,2006-12-13,,Automatons
1276,JEANNETTE CATSOULIS,Gay Samurai on a Quest for Experience,,0,2006-12-08,,Yaji and Kita: The Midnight Pilgrims
1277,NEIL GENZLINGER,On the Slopes With Snowboarders Past and Present,,0,2006-12-08,,Snow Blind
1278,A. O. SCOTT,Mischievous Kids Make the Most of a Night at the Airport,2006-12-08,0,2006-12-08,PG,Unaccompanied Minors
1279,NEIL GENZLINGER,The Persistence of Intolerance,2006-12-08,0,2006-12-08,,Ever Again
1280,STEPHEN HOLDEN,"In the Shadow of His Father, a Son Slowly Comes of Age",,0,2006-12-08,Not Rated,Family Law
1281,MANOHLA DARGIS,"Changing Addresses, Altering Love Lives",2006-12-08,0,2006-12-08,PG-13,The Holiday
1282,JEANNETTE CATSOULIS,The Pros and Cons of Confession,,0,2006-12-08,,Forgiveness
1283,JEANNETTE CATSOULIS,Citizens Suffer in a Country Torn by Civil War,,0,2006-12-08,,The Empire in Africa
1284,MANOHLA DARGIS,"Diamonds and the Devil, Amid the Anguish of Africa",2006-12-08,0,2006-12-08,R,Blood Diamond
1285,STEPHEN HOLDEN,Fathers and Sons and Raging Infernos,2006-12-08,0,2006-12-08,R,Off the Black
1286,A. O. SCOTT,The Passion of the Maya,2006-12-08,0,2006-12-08,,Apocalypto
1287,STEPHEN HOLDEN,"A Solitary Ingmar Bergman on Life, Love and Death, in Documentary Style",,1,2006-12-06,Not Rated,Bergman Island
1288,A. O. SCOTT,"Yes, Soldiers of France, in All but Name",,1,2006-12-06,R,Days of Glory
1289,MANOHLA DARGIS,The Trippy Dream Factory of David Lynch,,1,2006-12-06,R,Inland Empire
1290,JEANNETTE CATSOULIS,"A Long Way Traveled, With Farther Still to Go",,0,2006-12-06,,Hermanas
1291,JEANNETTE CATSOULIS,Graduate Degree in Grossness,2006-12-01,0,2006-12-02,R,National Lampoon's Van Wilder: The Rise of Taj
1292,A. O. SCOTT,Lingering on the Express Line: Bagging Some Humanity Amid Bar-Code Scanners,,1,2006-12-01,R,10 Items Or Less
1293,JEANNETTE CATSOULIS,Struggling With Life on a Road to Nowhere,,1,2006-12-01,,Highway Courtesans
1294,MANOHLA DARGIS,"Ugly Americans, Young, Attractive and Tormented",2006-12-01,0,2006-12-01,R,Turistas
1295,STEPHEN HOLDEN,The Long and Fatal Reach of an Unyielding Epidemic,,0,2006-12-01,Not Rated,3 Needles
1296,A. O. SCOTT,The Virgin Mary as a Teenager With Worries,2006-12-01,0,2006-12-01,PG,The Nativity Story
1297,LAURA KERN,Love in the Modern Age,,0,2006-12-01,,Four Eyed Monsters
1298,STEPHEN HOLDEN,"Malaise in the Projects, and Elsewhere",,0,2006-12-01,R,The Architect
1299,JEANNETTE CATSOULIS,"First the Bickering, Then the Murky Violence",,0,2006-11-29,,Invisible
1300,RACHEL SALTZ,A Modern Bollywood Treatment of Mischief,,0,2006-11-27,,Dhoom 2
1301,NEIL GENZLINGER,"Crude, Yes, but With Exquisite Finesse",2006-11-24,1,2006-11-24,Not Rated,This Filthy World
1302,MANOHLA DARGIS,What’s for Dinner? You Don’t Want to Know,,1,2006-11-24,,Our Daily Bread
1303,JEANNETTE CATSOULIS,"How Do You Land a Hunk? Act Straight, or Be Yourself?",,0,2006-11-24,Not Rated,Eating Out 2: Sloppy Seconds
1304,JEANNETTE CATSOULIS,"Big Dreams of a Little Girl, and Her Dad",2006-11-22,0,2006-11-22,PG,Opal Dreams
1305,NEIL GENZLINGER,A Garden Hose Bathes Them With Thrills,,0,2006-11-22,,Sun Kissed
1306,A. O. SCOTT,"A Love That Tries to Conquer All, Including Past Lives",2006-11-22,0,2006-11-22,PG-13,The Fountain
1307,STEPHEN HOLDEN,The Heavy Journey to Becoming a Rock God,2006-11-22,0,2006-11-22,R,Tenacious D In: The Pick of Destiny
1308,MANOHLA DARGIS,"After a Big Bad Boom, Clues Lead Anywhere, Even Back in Time",2006-11-22,0,2006-11-22,PG-13,Deja Vu
1309,A. O. SCOTT,A Bright Christmas: The Battle of the Bulbs,2006-11-22,0,2006-11-22,PG,Deck The Halls
1310,STEPHEN HOLDEN,Diva Meets Fan From Hell? Better Fasten Your Seatbelt,,0,2006-11-22,,Backstage
1311,STEPHEN HOLDEN,"From the Stage to the Screen, History Worth Repeating",2006-12-22,1,2006-11-21,R,The History Boys
1312,NEIL GENZLINGER,"Prison Comedy With a Shank, Not an Ax",2006-11-17,0,2006-11-18,R,Let's Go To Prison
1313,A. O. SCOTT,The Ties That Bind America’s Food Chain,2006-11-17,1,2006-11-17,R,Fast Food Nation
1314,A. O. SCOTT,An Argentine Director’s Unsettling Oeuvre,,1,2006-11-17,Not Rated,El Aura
1315,JEANNETTE CATSOULIS,A Love Triangle Caught Between Dreams and Reality,,0,2006-11-17,,The Piano Tuner Of Earthquakes
1316,LAURA KERN,"In Ancient Japan, Lover Divided by a Tragic Twist of Fate",,0,2006-11-17,R,Shinobi
1317,MANOHLA DARGIS,Renewing a License to Kill and a Huge Movie Franchise,2006-11-17,0,2006-11-17,PG-13,Casino Royale
1318,MANOHLA DARGIS,Bring in Da Hoofers on Ice,2006-11-17,0,2006-11-17,PG,Happy Feet
1319,ANITA GATES,"On Opposite Sides, United by Grief",,0,2006-11-17,,Encounter Point
1320,STEPHEN HOLDEN,The Cast of a Film Catches a Bad Case of the Oscars,2006-11-22,0,2006-11-17,PG-13,For Your Consideration
1321,MANOHLA DARGIS,"Flying Up, Up and Away, Then Down, Down, Down",,0,2006-11-17,R,Candy
1322,A. O. SCOTT,"The Way We Were, Way Back in June of ’68",2006-11-23,0,2006-11-17,R,Bobby
1323,STEPHEN HOLDEN,One Feisty Woman Takes On the Art World,2006-11-09,0,2006-11-15,PG-13,Who the #$&% is Jackson Pollock?
1324,JEANNETTE CATSOULIS,"If You Listen, You’ll Hear Adulthood Approaching",,0,2006-11-15,,"Dance Party, USA"
1325,STEPHEN HOLDEN,A Marriage Fumbles. Let’s Go to the Video.,,0,2006-11-15,R,Flannel Pajamas
1326,JEANNETTE CATSOULIS,A Young Woman Sickened by a Triple Shot of Stalkers,2006-11-10,0,2006-11-11,PG-13,The Return
1327,STEPHEN HOLDEN,Stopping to Smell the Vintner’s Bouquet,2006-11-10,0,2006-11-10,PG-13,A Good Year
1328,STEPHEN HOLDEN,Beware of a Prince Who Serves You Frog,,0,2006-11-10,R,Come Early Morning
1329,STEPHEN HOLDEN,When Buddy (Psychotic) Meets Buddy (Weakling),2006-11-10,0,2006-11-10,R,Harsh Times
1330,MANOHLA DARGIS,"A Visual Chronicler of Humanity's Underbelly, Draped in a Pelt of Perversity",,0,2006-11-10,R,Fur: An Imaginary Portrait of Diane Arbus
1331,A. O. SCOTT,Hearing Voices? It's Just Somebody’s Imagination,2006-11-10,0,2006-11-10,PG-13,Stranger Than Fiction
1332,MANOHLA DARGIS,"A Dog, and the Rhythms of Everyday Life on the Steppes",,0,2006-11-10,G,The Cave of the Yellow Dog
1333,A. O. SCOTT,Observe With Caution: She’s Not the Girl She Appears to Be (Not Even to Herself),,0,2006-11-10,Not Rated,Captive
1334,MANOHLA DARGIS,Handmaiden to a Maestro and Midwife to His Symphony,,0,2006-11-10,PG-13,Copying Beethoven
1335,JEANNETTE CATSOULIS,"Rock, With a Gentle Undercurrent of Pubescent Yearning",,1,2006-11-09,,Linda Linda Linda
1336,LAURA KERN,Crispin Glover’s Underworld Freak Show,2005-01-27,0,2006-11-09,Not Rated,What Is It?
1337,NEIL GENZLINGER,"Jamaican Gangsters, With Drugs and a Contempt for Life",2002-02-27,0,2006-11-09,R,Shottas
1338,JEANNETTE CATSOULIS,"Christ, With a Color Change",,0,2006-11-09,PG-13,Color of the Cross
1339,JEANNETTE CATSOULIS,Looking at a Stalled World Through a Renault Windshield,,0,2006-11-08,Not Rated,The Magic Gloves
1340,BY A.O. SCOTT,Contemplating Iraq’s Pain With a Cinematic Collage,,0,2006-11-08,,Iraq in Fragments
1341,JEANNETTE CATSOULIS,"From a Survivor of Nagasaki, Insight on the Nuclear Future",,0,2006-11-08,,The Last Atomic Bomb
1342,ANDY WEBSTER,"From India, a Courtesan’s Misfortune",,0,2006-11-04,,Umrao Jaan
1343,BY A.O. SCOTT,The Darkest of Troubles in the Brightest of Colors,2007-01-26,1,2006-11-03,R,Volver
1344,A. O. SCOTT,Washed Up in a World of Urban Vermin Intrigue,2006-11-03,1,2006-11-03,PG,Flushed Away
1345,MANOHLA DARGIS,"From Kazakhstan, Without a Clue",2006-11-03,1,2006-11-03,R,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation of Kazakhstan
1346,LAURA KERN,A Straightforward Look at Our  Changing World,,0,2006-11-03,Not Rated,The Great Warming
1347,LAURA KERN,Five Strangers in a Dangerous Game of Cat-and-Mouse,,0,2006-11-03,Not Rated,Unknown
1348,STEPHEN HOLDEN,Can Neighborly Affection Rewire Sexuality?,,0,2006-11-03,Not Rated,A Soap
1349,JEANNETTE CATSOULIS,Prejudice Blossoms When Neighbors Connect,,0,2006-11-03,PG,Wondrous Oblivion
1350,NEIL GENZLINGER,"Swimming Through Life, With Tales to Tell",,0,2006-11-03,,Deeper Than Y
1351,STEPHEN HOLDEN,Just a Hardy Bunch of Settlers Who Left America and Moved to California,,0,2006-11-03,Not Rated,Commune
1352,MANOHLA DARGIS,"At Home With the Clauses, In-Laws and Elves Included",2006-11-03,0,2006-11-03,G,The Santa Clause 3: The Escape Clause
1353,STEPHEN HOLDEN,"In Clutches of Poverty, Not Despair but Survival",,0,2006-11-01,,Romantico
1354,JEANNETTE CATSOULIS,A Surgeon on a Special Mission Deep in the Heart of Vietnam,,0,2006-11-01,,"As the Call, So the Echo"
1355,JEANNETTE CATSOULIS,"Bones Will Pop, but He’s No Chiropractor",2006-10-27,0,2006-10-28,R,Saw III
1356,MANOHLA DARGIS,"Dispatches From Beyond, via Herzog",,1,2006-10-27,Not Rated,The Wild Blue Yonder
1357,MANOHLA DARGIS,"The Spaces Between People, Even Lovers, in Images of Deceptive Simplicity",,1,2006-10-27,Not Rated,Climates
1358,STEPHEN HOLDEN,"In an Instant, Country Stars Became Political Casualties",2006-12-01,1,2006-10-27,R,Shut Up & Sing
1359,STEPHEN HOLDEN,That Beautiful but Deadly San Francisco Span,,1,2006-10-27,R,The Bridge
1360,A. O. SCOTT,‘Law & Order’ With a Touch of Zapruder,2006-10-27,0,2006-10-27,R,Death of a President
1361,JEANNETTE CATSOULIS,"A Culture Built of Guns, Drugs and Blood",,0,2006-10-27,R,Cocaine Cowboys
1362,ANDY WEBSTER,The Hard Road to Divine Inspiration,2006-10-27,0,2006-10-27,PG,Conversations With God
1363,LAURA KERN,He Wants to Be a Woman but Reality Gets in the Way,,0,2006-10-27,Not Rated,20 Centimetres
1364,MANOHLA DARGIS,A Heart Riled to Sabotage Apartheid,2006-10-27,0,2006-10-27,PG-13,Catch a Fire
1365,A. O. SCOTT,Emotion Needs No Translation,2006-11-10,0,2006-10-27,R,Babel
1366,A. O. SCOTT,An Avant-Garde Enigma Made Personal and Concrete,,0,2006-10-27,Not Rated,Absolute Wilson
1367,STEPHEN HOLDEN,Leaving This Mortal Coil With a Plan and a Departure Date,,0,2006-10-25,,Exit: The Right to Die
1368,NEIL GENZLINGER,What’s That Sound Coming From the Doctor’s Cabinet?,2006-01-01,0,2006-10-25,,The Cabinet of Dr. Caligari
1369,STEPHEN HOLDEN,"Kool-Aid, Craziness and Utopian Yearning",,1,2006-10-20,,Jonestown: The Life and Death of Peoples Temple
1370,A. O. SCOTT,"Two Rival Magicians, and Each Wants the Other to Go Poof",2006-10-20,1,2006-10-20,PG-13,The Prestige
1371,MANOHLA  DARGIS,"A Ghastly Conflagration, a Tormented Aftermath",2006-10-20,1,2006-10-20,R,Flags of Our Fathers
1372,ANITA GATES,"From Bollywood to New York, a Tale of Lovers Lost and Found",,0,2006-10-20,,Jaan-E-Mann
1373,STEPHEN HOLDEN,Looking at Sex and Laughing,,0,2006-10-20,R,Sleeping Dogs Lie
1374,A. O. SCOTT,"Mom’s Wacky, Dad’s Distracted, Son Survives",2006-10-27,0,2006-10-20,R,Running with Scissors
1375,JEANNETTE CATSOULIS,A Mind in Torment Faces a Terrible Decline,,0,2006-10-20,,Requiem
1376,LAURA KERN,Courageous Teenagers on a Sacred Quest,,0,2006-10-20,,Masai: the Rain Warriors
1377,MANOHLA DARGIS,"Whoa, Girl: Taming a Wild Child",2006-10-20,0,2006-10-20,PG,Flicka
1378,NATHAN LEE,Opposites Attract at the 2004 Republican Convention,,0,2006-10-20,,Conventioneers
1379,JEANNETTE CATSOULIS,A Foreign Bride in a Strange Land,,1,2006-10-18,PG,Sweet Land
1380,NEIL GENZLINGER,Where the Mascot Is More of a Stud than the Quarterback,,1,2006-10-18,,Hair High
1381,BY A.O. SCOTT,"Scenes From a Marriage, Revealed by a Son",2006-10-18,1,2006-10-18,Not Rated,51 Birch Street
1382,NEIL GENZLINGER,A Walk Through the Bowels of Brazilian Justice,,0,2006-10-18,R,Justice
1383,NATHAN LEE,"A Soldier Amid Crooks, Alligators and Fireballs",2006-10-13,0,2006-10-14,Not Rated,The Marine
1384,JEANNETTE CATSOULIS,"The Usual Cast of Victims, in Order of Stupidity",2006-10-13,0,2006-10-14,PG-13,The Grudge 2
1385,A. O. SCOTT,A Lonely Petit Four of a Queen,2006-10-20,1,2006-10-13,PG-13,Marie Antoinette
1386,A. O. SCOTT,"Truman Capote’s Journey on 'In Cold Blood,' Again",2006-10-13,1,2006-10-13,R,Infamous
1387,A. O. SCOTT,The Lives of Priest and Victims in the Silence After the Anguish,,1,2006-10-13,Not Rated,Deliver Us From Evil
